date,day,time,travel_minutes
2026-08-29,Saturday,15:37,48.4
2026-08-29,Saturday,15:38,47.1
2026-08-31,Monday,08:01,40.6
2026-08-31,Monday,08:48,42.8
2026-08-31,Monday,09:14,40.6
2026-08-31,Monday,09:56,42.5
2026-09-01,Tuesday,07:08,46.5
2026-09-01,Tuesday,07:55,40.3
2026-09-01,Tuesday,08:13,39.0
2026-09-01,Tuesday,08:46,38.5
2026-09-02,Wednesday,06:44,52.2
2026-09-02,Wednesday,07:14,49.7
2026-09-02,Wednesday,07:32,48.2
2026-09-02,Wednesday,08:00,46.4
2026-09-03,Thursday,06:47,55.1
2026-09-03,Thursday,07:18,49.5
2026-09-03,Thursday,07:40,48.7
2026-09-03,Thursday,08:10,44.1
2026-09-04,Friday,06:52,42.1
